event_uid,chunk_id,chunk_text,titre,description,date,lieu,ville,latitude,longitude,type_evenement
36706064,36706064_0,"Événement : Médiateur d’un soir. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de la bière de Stenay, Stenay.",Médiateur d’un soir,"La classe, l’œuvre !",23/05/2026,Musée de la bière de Stenay,Stenay,49.488919,5.186676,
37460864,37460864_0,"Événement : Projet Constellation. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Site Verrier, Meisenthal.",Projet Constellation,"La classe, l’œuvre !",23/05/2026,Site Verrier,Meisenthal,48.964904,7.352701,
38685382,38685382_0,"Événement : Les peintures du Musée Bertrand réinterprétées !. La classe, l’œuvre ! Date : 23/05/2026. Lieu : musée Bertrand, Châteauroux.",Les peintures du Musée Bertrand réinterprétées !,"La classe, l’œuvre !",23/05/2026,musée Bertrand,Châteauroux,46.813729,1.694251,
39383599,39383599_0,"Événement : Le cirque dans tous ses états. La classe, l’œuvre ! Date : 23/05/2026. Lieu : MANAS - Musée d'Art Naïf et d'Arts Singuliers, Laval.",Le cirque dans tous ses états,"La classe, l’œuvre !",23/05/2026,MANAS - Musée d'Art Naïf et d'Arts Singuliers,Laval,48.068777,-0.772359,
39468015,39468015_0,"Événement : Les Haïkus des 4 saisons. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Du Cartonnage Et De L'imprimerie, Valréas.",Les Haïkus des 4 saisons,"La classe, l’œuvre !",23/05/2026,Musée Du Cartonnage Et De L'imprimerie,Valréas,44.382664,4.987351,
41164636,41164636_0,"Événement : Enchainés. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Museum d'histoire naturelle, Autun.",Enchainés,"La classe, l’œuvre !",23/05/2026,Museum d'histoire naturelle,Autun,46.948294,4.300978,
41263904,41263904_0,"Événement : Les collections haute couture de l'école Marcel Mouloudji. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Mus - Musée D'histoire Urbaine Et Sociale De Suresnes, Suresnes.",Les collections haute couture de l'école Marcel Mouloudji,"La classe, l’œuvre !",23/05/2026,Mus - Musée D'histoire Urbaine Et Sociale De Suresnes,Suresnes,48.868303,2.221944,
41399952,41399952_0,"Événement : Le hors champ, entre ce qui échappe et ce qui fait sens. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Nicéphore Niepce, Chalon-sur-Saône.","Le hors champ, entre ce qui échappe et ce qui fait sens","La classe, l’œuvre !",23/05/2026,Musée Nicéphore Niepce,Chalon-sur-Saône,46.780045,4.855727,
42341496,42341496_0,"Événement : Les représentations de la préhistoire. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de Préhistoire Régionale de Menton, Menton.",Les représentations de la préhistoire,"La classe, l’œuvre !",23/05/2026,Musée de Préhistoire Régionale de Menton,Menton,43.77687,7.503567,
43732762,43732762_0,"Événement : Vies et destins du Musée Gallé-juillet. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Gallé-Juillet, Creil.",Vies et destins du Musée Gallé-juillet,"La classe, l’œuvre !",23/05/2026,Musée Gallé-Juillet,Creil,49.260884,2.47342,
43817103,43817103_0,"Événement : Reflets de Suzanne. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Théodore Deck Et Des Pays Du Florival, Guebwiller.",Reflets de Suzanne,"La classe, l’œuvre !",23/05/2026,Musée Théodore Deck Et Des Pays Du Florival,Guebwiller,47.905522,7.214504,
43981632,43981632_0,"Événement : [PAS PERDUS], Danse, musique et chaussures ! avec la Cie In and Out et Le train théâtre- Lycée du Dauphiné. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de la chaussure, Romans-sur-Isère.","[PAS PERDUS], Danse, musique et chaussures ! avec la Cie In and Out et Le train théâtre- Lycée du Dauphiné","La classe, l’œuvre !",23/05/2026,Musée de la chaussure,Romans-sur-Isère,45.04449,5.054468,
44058827,44058827_0,"Événement : Maquette d’histoire : le Pont Napoléon réinventé. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Service patrimoine Moissac, Moissac.",Maquette d’histoire : le Pont Napoléon réinventé,"La classe, l’œuvre !",23/05/2026,Service patrimoine Moissac,Moissac,44.106184,1.084388,
44220628,44220628_0,"Événement : Préhistoire en scènes : les objets racontent leurs secrets. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de préhistoire des gorges du Verdon, Quinson.",Préhistoire en scènes : les objets racontent leurs secrets,"La classe, l’œuvre !",23/05/2026,Musée de préhistoire des gorges du Verdon,Quinson,43.694947,6.035345,
44955020,44955020_0,"Événement : Résonances arctiques. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée/château comtal de Boulogne-sur-Mer, Boulogne-sur-Mer.",Résonances arctiques,"La classe, l’œuvre !",23/05/2026,Musée/château comtal de Boulogne-sur-Mer,Boulogne-sur-Mer,50.725542,1.61633,
45094723,45094723_0,"Événement : Projet ""La classe, l'œuvre"". La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Toulouse-Lautrec, Albi.","Projet ""La classe, l'œuvre""","La classe, l’œuvre !",23/05/2026,Musée Toulouse-Lautrec,Albi,43.928378,2.143532,
45316288,45316288_0,"Événement : Allégorie en tout genre !. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée muséum départemental des Hautes-Alpes, Gap.",Allégorie en tout genre !,"La classe, l’œuvre !",23/05/2026,Musée muséum départemental des Hautes-Alpes,Gap,44.562502,6.085519,
45746937,45746937_0,"Événement : Le défilé des animaux égyptiens d’Albert Thierry. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Girodet, Montargis.",Le défilé des animaux égyptiens d’Albert Thierry,"La classe, l’œuvre !",23/05/2026,Musée Girodet,Montargis,47.997255,2.736519,
45846737,45846737_0,"Événement : Le Louvre invite des élèves à réinventer les cartels de l'exposition  ""L'Eau primordiale - Leçons de Mésopotamie "". La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée du Louvre, Paris.","Le Louvre invite des élèves à réinventer les cartels de l'exposition  ""L'Eau primordiale - Leçons de Mésopotamie ""","La classe, l’œuvre !",23/05/2026,Musée du Louvre,Paris,48.861581,2.333569,
46611259,46611259_0,"Événement : Restitution du projet Histoire de l'écriture. La classe, l’œuvre ! Date : 23/05/2026. Lieu : L'atelier D'un Journal"" De Louhans - Musée Municipal, Louhans.",Restitution du projet Histoire de l'écriture,"La classe, l’œuvre !",23/05/2026,"L'atelier D'un Journal"" De Louhans - Musée Municipal",Louhans,46.630508,5.224504,
46646337,46646337_0,"Événement : Restitution du projet Histoire de l'écriture. La classe, l’œuvre ! Date : 23/05/2026. Lieu : L'atelier D'un Journal"" De Louhans - Musée Municipal, Louhans.",Restitution du projet Histoire de l'écriture,"La classe, l’œuvre !",23/05/2026,"L'atelier D'un Journal"" De Louhans - Musée Municipal",Louhans,46.630508,5.224504,
47100753,47100753_0,"Événement : Vénus au fil d'Arles. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée départemental Arles antique, Arles.",Vénus au fil d'Arles,"La classe, l’œuvre !",23/05/2026,Musée départemental Arles antique,Arles,43.671905,4.616493,
49110318,49110318_0,"Événement : Laboratoire portuaire. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Ecomusée de Saint-Nazaire, Saint-Nazaire.",Laboratoire portuaire,"La classe, l’œuvre !",23/05/2026,Ecomusée de Saint-Nazaire,Saint-Nazaire,47.274164,-2.198568,
49907780,49907780_0,"Événement : Selection de tableaux. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Louis Vouland, Avignon.",Selection de tableaux,"La classe, l’œuvre !",23/05/2026,Musée Louis Vouland,Avignon,43.947254,4.800664,
49947727,49947727_0,"Événement : Sculpture et mémoire entre France et Argentine. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée jardin départemental Bourdelle, Égreville.",Sculpture et mémoire entre France et Argentine,"La classe, l’œuvre !",23/05/2026,Musée jardin départemental Bourdelle,Égreville,48.182994,2.86034,
50080935,50080935_0,"Événement : RESTITUTION Livret d'exposition - HLP 1ère ""C'est moi le guide"" - Lycée Notre-Dame-des-Dunes. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Frac Grand Large — Hauts-de-France, Dunkerque.","RESTITUTION Livret d'exposition - HLP 1ère ""C'est moi le guide"" - Lycée Notre-Dame-des-Dunes","La classe, l’œuvre !",23/05/2026,Frac Grand Large — Hauts-de-France,Dunkerque,51.048063,2.37582,
50635800,50635800_0,"Événement : Un trésor caché. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée intercommunal de Nogent-sur-Marne, Nogent-sur-Marne.",Un trésor caché,"La classe, l’œuvre !",23/05/2026,Musée intercommunal de Nogent-sur-Marne,Nogent-sur-Marne,48.84026,2.484292,
52454750,52454750_0,"Événement : Abracad'art ! Voilà l'Escamoteur. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée municipal Ducastel-Vera - Espace Paul-et-André-Vera, Saint-Germain-en-Laye.",Abracad'art ! Voilà l'Escamoteur,"La classe, l’œuvre !",23/05/2026,Musée municipal Ducastel-Vera - Espace Paul-et-André-Vera,Saint-Germain-en-Laye,48.896256,2.097096,
52939911,52939911_0,"Événement : Rome, du mythe au virtuel. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée et sites archéologiques de Vieux-la-Romaine, Vieux.","Rome, du mythe au virtuel","La classe, l’œuvre !",23/05/2026,Musée et sites archéologiques de Vieux-la-Romaine,Vieux,49.111255,-0.428611,
54070919,54070919_0,"Événement : Les enfants, guides et passeurs de mémoire.. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Riz-Lacroix, Mazères-sur-Salat.","Les enfants, guides et passeurs de mémoire.","La classe, l’œuvre !",23/05/2026,Musée Riz-Lacroix,Mazères-sur-Salat,43.132705,0.974916,
54603972,54603972_0,"Événement : Le trésor de la tribu de Rosemertaalauda. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée archéologique de Dijon, Dijon.",Le trésor de la tribu de Rosemertaalauda,"La classe, l’œuvre !",23/05/2026,Musée archéologique de Dijon,Dijon,47.32183,5.035056,
54964918,54964918_0,"Événement : Faïence en dialogue. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de la faïence et de la céramique de Malicorne-sur-Sarthe, Malicorne-sur-Sarthe.",Faïence en dialogue,"La classe, l’œuvre !",23/05/2026,Musée de la faïence et de la céramique de Malicorne-sur-Sarthe,Malicorne-sur-Sarthe,47.81341,-0.082911,
55337366,55337366_0,"Événement : Le Trophée du citoyen. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée d'Histoire, Belfort.",Le Trophée du citoyen,"La classe, l’œuvre !",23/05/2026,Musée d'Histoire,Belfort,47.636302,6.855431,
55578966,55578966_0,"Événement : Le Louvre invite des élèves à réinventer les cartels de l'exposition  ""L'Eau primordiale - Leçons de Mésopotamie "". La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée du Louvre, Paris.","Le Louvre invite des élèves à réinventer les cartels de l'exposition  ""L'Eau primordiale - Leçons de Mésopotamie ""","La classe, l’œuvre !",23/05/2026,Musée du Louvre,Paris,48.861581,2.333569,
56240830,56240830_0,"Événement : En mode romain : les vêtements en couleur. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Amphoralis, Sallèles-d'Aude.",En mode romain : les vêtements en couleur,"La classe, l’œuvre !",23/05/2026,Musée Amphoralis,Sallèles-d'Aude,43.262209,2.945924,
57145908,57145908_0,"Événement : Parcours des lycéens sur les courants artistiques. La classe, l’œuvre ! Date : 23/05/2026. Lieu : musée des Beaux-Arts de Bordeaux, Bordeaux.",Parcours des lycéens sur les courants artistiques,"La classe, l’œuvre !",23/05/2026,musée des Beaux-Arts de Bordeaux,Bordeaux,44.837341,-0.580682,
57254351,57254351_0,"Événement : Rouge ! avec l'artiste Pierre Genouvrier. La classe, l’œuvre ! Date : 23/05/2026. Lieu : ARCHÉA, Louvres.",Rouge ! avec l'artiste Pierre Genouvrier,"La classe, l’œuvre !",23/05/2026,ARCHÉA,Louvres,49.041117,2.50695,
59010934,59010934_0,"Événement : Jardin graphique 2. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Petit Palais, Paris.",Jardin graphique 2,"La classe, l’œuvre !",23/05/2026,Petit Palais,Paris,48.866105,2.313804,
